mros-visit1-aa3363
Whole Night (hrs): 11.441667		SleepStage2 (hrs): 3.933333
SpindleNo,Frequency,Duration,Amplitude,Time_of_night
446,12.549020,0.398440,39.024949,3.667639
447,13.298701,0.601560,74.525063,3.670333
448,14.222222,0.703120,68.314641,3.673167
449,11.000000,1.000000,87.144274,3.678611
450,10.912966,2.199200,109.788663,3.679917
451,12.549020,0.398440,37.438010,3.687722
452,12.549020,0.398440,36.774243,3.694111
453,12.000000,0.500000,43.228809,3.696611
454,14.000000,0.500000,33.806363,3.704028
455,13.298701,0.902340,69.077592,3.708806
456,10.762763,1.300800,101.075761,3.722472
457,11.181609,1.699200,83.375296,3.732778
458,13.385621,0.597660,48.767834,3.736833
459,11.674267,1.199200,103.486687,3.737111
460,9.985816,1.101600,76.020447,3.741944
461,12.800000,2.500000,86.411841,3.745917
462,12.000000,0.500000,48.233768,3.750750
463,12.427184,0.402340,30.830854,3.751083
464,11.441341,0.699220,51.575494,3.755417
465,13.000000,1.000000,75.661860,3.756083
466,11.674267,1.199200,68.810559,3.756444
467,11.636364,0.601560,41.992828,3.768333
468,14.000000,0.500000,48.294804,3.769194
469,12.000000,0.500000,46.936751,3.773611
470,11.531532,1.300800,85.633631,3.784722
471,12.000000,0.500000,44.602121,3.799500
472,13.000000,1.000000,83.138781,3.811611
473,12.243478,0.898440,50.545510,3.814056
474,11.801418,1.101600,76.089113,3.822056
475,14.222222,0.703120,66.552224,3.822750
476,12.000000,0.500000,33.607996,3.829556
477,14.000000,1.000000,51.369497,3.830444
478,13.298701,0.601560,46.501869,3.833194
479,13.500000,2.000000,68.970779,3.834417
480,14.650602,1.296900,89.394980,3.848917
481,13.736585,0.800780,45.212482,3.850417
482,12.000000,1.500000,97.489891,3.852667
483,13.803922,0.796880,60.296025,3.860583
484,11.377778,0.703120,46.478981,3.865111
485,14.000000,0.500000,38.719768,3.868500
486,13.298701,0.300780,33.203632,3.870889
487,13.298701,0.601560,34.363317,3.875472
488,13.617021,1.101600,48.447395,3.879694
489,12.000000,0.500000,45.578698,3.880028
490,12.427184,0.402340,34.065766,3.880889
491,14.000000,1.000000,72.922866,3.883472
492,14.961039,0.601560,36.232547,3.906361
493,13.356522,0.898440,59.426261,3.906972
494,14.301676,0.699220,66.758221,3.908139
495,13.736585,0.800780,40.970474,3.909667
496,13.736585,0.800780,58.968490,3.920667
497,15.009772,1.199200,78.835737,3.929944
498,11.377778,0.703120,70.191501,3.951778
499,13.736585,0.800780,44.602121,3.953889
500,12.243478,0.898440,51.789120,3.956972
501,12.549020,0.398440,33.562219,3.958083
502,15.058824,0.398440,45.853361,3.966972
503,14.301676,0.699220,37.804227,3.967278
504,14.000000,0.500000,58.113985,3.968167
505,13.385621,0.597660,42.053864,3.969111
506,13.298701,0.300780,35.385672,3.969861
507,12.871508,0.699220,42.633707,3.970750
508,14.301676,0.699220,54.253452,3.971833
509,13.298701,0.601560,59.868772,3.972750
510,14.961039,0.601560,43.755245,3.974444
511,13.799257,2.101600,123.407340,3.976778
512,14.000000,0.500000,39.574273,3.977694
513,12.427184,0.402340,39.536126,3.980250
514,12.190476,0.902340,53.322652,3.987056
515,14.000000,0.500000,55.413138,3.990000
516,13.385621,0.597660,49.355306,3.994806
517,11.000000,1.000000,65.835050,3.996333
518,13.298701,0.902340,59.166857,3.999083
519,12.000000,0.500000,44.586862,3.999417
520,11.441341,0.699220,56.694896,4.008056
521,14.301676,0.699220,52.727550,4.011944
522,12.427184,0.402340,36.079957,4.013583
523,13.736585,0.800780,63.515679,4.014361
524,11.239024,1.601600,99.374380,4.017361
525,13.000000,1.000000,68.085756,4.018778
526,12.508143,1.199200,101.640345,4.022139
527,11.377778,0.703120,78.072786,4.024417
528,12.871508,0.699220,43.625544,4.038944
529,13.298701,0.300780,31.052110,4.040611
530,13.356522,0.898440,64.011597,4.041333
531,14.301676,0.699220,46.036469,4.045750
532,12.549020,0.398440,36.903944,4.046250
533,13.298701,0.601560,82.963302,4.057556
534,12.549020,0.398440,32.364385,4.061417
535,13.298701,0.601560,54.993515,4.088611
536,12.549020,0.398440,36.171511,4.089472
537,13.736585,0.800780,66.079194,4.096444
538,14.000000,0.500000,48.317693,4.104667
539,11.712418,0.597660,34.409094,4.105778
540,14.000000,0.500000,41.573205,4.138833
541,14.961039,0.601560,40.108339,4.156028
542,13.736585,0.800780,66.842145,4.157611
543,14.000000,0.500000,48.317693,4.164583
544,13.298701,0.300780,30.243381,4.166778
545,12.190476,0.902340,54.116121,4.173944
546,13.298701,0.300780,30.136568,4.182167
547,14.000000,0.500000,67.673762,4.193333
548,14.406926,0.902340,51.956970,4.201306
549,12.190476,0.902340,76.722362,4.205750
550,12.800000,0.703120,45.624475,4.207333
551,15.058824,0.398440,30.014496,4.213472
552,13.298701,0.601560,46.585794,4.214417
553,12.000000,0.500000,71.854734,4.218306
554,13.356522,0.898440,69.436179,4.220306
555,12.871508,0.699220,95.262074,4.223111
556,12.487805,0.800780,65.217060,4.252972
557,14.000000,0.500000,45.990692,4.256194
558,11.441341,0.699220,78.072786,4.266167
559,11.712418,0.597660,56.878004,4.272528
560,13.298701,0.601560,65.751125,4.283944
561,13.803922,0.796880,41.748684,4.285028
562,13.385621,0.597660,66.681926,4.285917
563,15.058824,0.398440,65.735866,4.292222
564,14.912621,0.402340,37.407492,4.293250
565,12.000000,0.500000,45.166705,4.310667
566,12.947126,1.699200,174.517433,4.328944
567,13.000000,1.000000,89.707790,4.330889
568,12.000000,1.000000,78.545815,4.331583
569,14.000000,0.500000,54.718853,4.345083
570,13.837838,1.300800,67.368582,4.345750
571,14.000000,1.000000,54.398413,4.353778
572,13.385621,0.597660,61.585412,4.358556
573,14.000000,0.500000,49.378195,4.358917
574,14.000000,1.000000,97.291524,4.359722
575,12.871508,0.699220,56.473640,4.361556
576,11.636364,0.601560,57.244221,4.373944
577,13.504587,1.703100,67.025254,4.379972
578,14.301676,0.699220,59.380484,4.389944
579,11.636364,0.601560,49.164569,4.390472
580,14.000000,0.500000,44.449531,4.391000
581,12.487805,0.800780,66.453040,4.392167
582,11.636364,0.601560,46.021210,4.397000
583,12.190476,0.902340,67.444877,4.415889
584,14.124138,1.699200,85.572595,4.417528
585,12.000000,0.500000,47.295338,4.420389
