mros-visit1-aa2671
Whole Night (hrs): 10.653889		SleepStage2 (hrs): 2.383333
SpindleNo,Frequency,Duration,Amplitude,Time_of_night
198,14.000000,1.000000,41.588464,1.607889
199,12.000000,1.000000,55.245289,1.608750
200,12.871508,0.699220,49.248493,1.609333
201,9.974026,0.902340,50.446326,1.609556
202,14.000000,0.500000,47.486076,1.610056
203,10.039216,0.597660,47.722591,1.610306
204,11.661605,1.800800,64.980545,1.610889
205,14.000000,0.500000,38.368811,1.612972
206,10.840391,1.199200,73.304341,1.616056
207,12.000000,0.500000,36.964981,1.616861
208,13.298701,0.300780,28.969253,1.619694
209,11.636364,0.601560,49.111162,1.620139
210,12.243478,0.898440,56.382086,1.620583
211,14.000000,0.500000,39.688716,1.623333
212,12.000000,0.500000,35.049973,1.623611
213,12.549020,0.398440,42.725261,1.625139
214,12.000000,0.500000,69.840543,1.626083
215,12.000000,0.500000,43.244068,1.628444
216,13.342020,1.199200,71.252003,1.633500
217,13.803922,0.796880,82.520790,1.638917
218,11.130435,0.898440,52.658885,1.659750
219,13.298701,0.601560,39.307240,1.660056
220,14.912621,0.402340,47.661555,1.660250
221,12.000000,0.500000,36.659800,1.671750
222,12.800000,0.703120,47.272450,1.676917
223,12.000000,0.500000,49.698634,1.686056
224,14.000000,0.500000,50.308995,1.700028
225,11.239024,0.800780,57.389181,1.723306
226,14.000000,0.500000,34.302281,1.736333
227,14.000000,0.500000,40.588998,1.740444
228,12.549020,0.398440,32.753491,1.744444
229,12.427184,0.402340,28.961624,1.744694
230,13.803922,0.796880,67.521172,1.752250
231,12.300300,1.300800,80.552377,1.759556
232,12.427184,0.402340,50.949874,1.763861
233,12.508143,1.199200,64.759289,1.768750
234,12.487805,0.800780,68.108644,1.769500
235,12.549020,0.398440,33.508812,1.773333
236,12.427184,0.402340,41.672389,1.789639
237,12.487805,0.800780,57.068742,1.797278
238,11.333333,1.500000,56.260014,1.798917
239,12.427184,0.402340,43.045701,1.799556
240,13.298701,0.300780,39.414054,1.803028
241,12.549020,0.398440,41.260395,1.803361
242,13.000000,1.000000,84.786755,1.805278
243,13.298701,0.300780,28.465705,1.808111
244,16.000000,0.500000,40.474556,1.811333
245,12.000000,1.000000,63.523308,1.811722
246,11.636364,0.601560,43.137255,1.825000
247,12.000000,0.500000,42.015717,1.825889
248,12.549020,0.398440,59.876402,1.844333
249,13.298701,0.601560,46.616312,1.859167
250,13.298701,0.300780,30.045014,1.862500
251,9.974026,0.300780,26.253147,1.880639
252,15.731844,0.699220,51.079576,1.884361
253,13.298701,0.601560,44.014649,1.886917
254,14.000000,0.500000,40.650034,1.896806
255,11.712418,0.597660,53.696498,1.903417
256,12.427184,0.402340,31.784543,1.904639
257,12.549020,0.398440,39.642939,1.905278
258,13.736585,0.800780,96.757458,1.915472
259,12.871508,0.699220,69.596399,1.920000
260,12.800000,0.703120,46.944381,1.922750
261,10.840391,1.199200,65.499351,1.938278
262,14.301676,0.699220,46.204318,1.940139
263,13.298701,0.300780,27.275502,1.964944
264,12.871508,0.699220,45.807584,1.973083
265,12.000000,0.500000,66.262303,1.979750
266,12.000000,0.500000,49.935149,1.991306
267,13.736585,0.800780,64.507515,1.993056
268,13.736585,0.800780,61.249714,1.994861
269,13.298701,0.300780,32.188907,1.997194
270,14.222222,0.703120,51.468681,2.014694
271,13.298701,0.902340,67.917906,2.023944
272,13.736585,0.800780,47.806516,2.028389
273,14.000000,0.500000,54.077974,2.040833
274,12.871508,0.699220,55.909056,2.049333
275,13.298701,0.601560,48.477913,2.062889
276,14.000000,0.500000,48.165103,2.068222
277,11.712418,0.597660,36.057069,2.069194
278,13.736585,0.800780,59.952697,2.070222
279,12.427184,0.402340,47.371633,2.075667
280,14.000000,0.500000,36.781872,2.084389
281,13.385621,0.597660,50.545510,2.104472
282,13.298701,0.601560,49.713893,2.116167
283,12.000000,0.500000,54.726482,2.117583
284,13.298701,0.300780,37.109941,2.131250
285,12.871508,0.699220,50.736248,2.137167
286,14.000000,0.500000,60.402838,2.143944
287,15.058824,0.398440,37.438010,2.158750
288,13.298701,0.601560,38.902876,2.164444
289,14.000000,0.500000,32.219425,2.180361
290,13.356522,0.898440,59.090562,2.202806
291,12.549020,0.398440,39.551385,2.204611
292,13.803922,0.796880,64.637217,2.209056
293,13.298701,0.601560,56.389715,2.285611
294,13.298701,0.601560,43.160143,2.286944
295,16.623377,0.300780,35.324636,2.318889
296,13.356522,0.898440,66.491188,2.325639
297,13.356522,0.898440,78.698405,2.344194
298,12.871508,0.699220,38.452735,2.356806
299,12.427184,0.402340,39.696345,2.371583
300,13.736585,0.800780,51.819638,2.387333
301,12.549020,0.398440,32.890822,2.409306
302,12.800000,0.703120,36.400397,2.421639
303,14.000000,1.000000,72.098878,2.422972
304,13.298701,0.300780,27.374685,2.425361
305,12.549020,0.398440,36.827649,2.443556
306,14.301676,0.699220,62.623026,2.458083
307,14.000000,0.500000,38.902876,2.514833
308,13.385621,0.597660,45.716030,2.522667
309,14.360976,1.601600,58.533608,2.543111
310,11.333333,1.500000,143.266957,2.551333
311,12.427184,0.402340,35.431449,2.554500
312,14.222222,0.703120,60.952163,2.559417
313,11.239024,0.800780,56.427863,2.574250
314,14.961039,0.601560,42.160678,2.593111
315,12.871508,0.699220,47.463188,2.594306
316,13.736585,0.800780,68.131533,2.610694
317,13.298701,0.601560,54.879072,2.611389
318,13.298701,0.300780,39.322499,2.620639
319,12.871508,0.699220,59.899290,2.624194
320,13.298701,0.300780,27.939269,2.632861
321,12.000000,1.000000,45.212482,2.634917
322,12.000000,0.500000,37.674525,2.636167
323,12.800000,0.703120,52.773327,2.636361
324,13.356522,0.898440,75.700008,2.643222
325,13.356522,0.898440,67.536431,2.652861
326,12.427184,0.402340,32.112612,2.654972
327,14.000000,1.000000,53.109026,2.657056
328,11.441341,2.097700,64.545663,2.658917
329,12.709220,1.101600,57.213703,2.659778
330,13.385621,0.597660,55.466545,2.663278
331,11.000000,1.000000,63.698787,2.665778
332,11.712418,0.597660,48.416876,2.669611
333,11.441341,0.699220,56.137942,2.671611
334,10.017391,0.898440,59.548333,2.680306
335,13.535632,1.699200,60.418097,2.684194
336,13.168724,1.898400,78.316930,2.685083
337,14.912621,0.402340,41.397726,2.690472
338,11.441341,0.699220,64.820325,2.697417
339,10.011173,0.699220,46.051728,2.705500
340,12.000000,0.500000,49.942779,2.706333
341,12.000000,0.500000,34.348058,2.728111
342,12.243478,0.898440,54.901961,2.747389
343,12.000000,0.500000,37.911040,2.748694
344,11.239024,0.800780,47.547112,2.764111
345,12.871508,0.699220,46.692607,2.772806
346,13.342020,1.199200,57.160296,2.776139
347,12.358621,1.699200,50.736248,2.776611
348,13.298701,0.300780,25.749599,2.793833
349,14.301676,0.699220,35.576410,2.794250
350,12.000000,0.500000,58.251316,2.798028
351,12.000000,0.500000,42.580301,2.798278
352,12.255319,2.203100,92.179751,2.802472
353,12.000000,0.500000,49.462119,2.804528
354,12.000000,1.000000,59.090562,2.806889
355,10.011173,0.699220,53.650721,2.808000
356,12.000000,0.500000,35.339895,2.819139
357,14.301676,0.699220,62.516213,2.823222
358,13.736585,0.800780,61.753262,2.834722
359,12.000000,0.500000,41.634241,2.836083
360,12.800000,0.703120,50.453956,2.840806
